District Name,School Code,School Name,SBE District,EVAAS Growth Status,EVAAS Growth Index,Percent Participation Targets Met,ACT Percent,ACT WorkKeys Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230340,Fallston Elementary,Southwest,NotMet,-3.19,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230342,Graham Elementary,Southwest,Met,0.46,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230344,Grover Elementary,Southwest,Met,-0.37,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230346,James Love Elementary,Southwest,Met,-0.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230348,Jefferson Elementary,Southwest,Exceeded,4.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230350,Kings Mountain High,Southwest,Exceeded,9.94,100.0,60.8,82.2,>95,94.2,93.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230351,Kings Mountain Intermediate,Southwest,Met,1.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230352,Kings Mountain Middle,Southwest,NotMet,-3.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230355,Marion Elementary,Southwest,Met,-0.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230357,North Elementary,Southwest,Exceeded,3.33,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230359,North Shelby,Southwest,,,100.0,,,,*,<5,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230361,Shelby High,Southwest,NotMet,-7.08,97.0,49.3,63.3,>95,92.7,88.5,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230362,Shelby Middle,Southwest,NotMet,-3.36,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230364,Springmore Elementary,Southwest,Met,1.13,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230368,Township Three Elementary,Southwest,Met,-1.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230370,Union Elementary,Southwest,Met,0.32,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230376,Washington Elementary,Southwest,Met,-1.38,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland County Schools,230380,West Elementary,Southwest,Met,0.35,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240,Columbus County Schools,Sandhills,,,98.5,35.7,67.7,>95,84.6,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240304,Acme Delco Middle,Sandhills,Met,-0.54,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240308,Acme Delco Elementary,Sandhills,Met,0.67,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240328,Cerro Gordo Elementary,Sandhills,NotMet,-2.31,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240330,Chadbourn Middle,Sandhills,Met,-0.83,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240332,Chadbourn Elementary,Sandhills,Met,1.01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240334,East Columbus High,Sandhills,Met,-1.95,95.2,35.1,48.3,>95,90.0,85.4,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240344,Evergreen Elementary,Sandhills,Exceeded,4.53,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240352,Guideway Elementary,Sandhills,Exceeded,5.47,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240354,Hallsboro-Artesia Elementary,Sandhills,Met,-1.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240356,Hallsboro Middle,Sandhills,Met,-0.91,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240368,Nakina Middle,Sandhills,NotMet,-2.35,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240370,Old Dock Elementary,Sandhills,Met,0.96,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240371,South Columbus High,Sandhills,Met,0.35,100.0,35.6,81.8,>95,80.7,85.7,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240372,Tabor City Elementary,Sandhills,Met,1.79,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240373,CCCA - Fair Bluff /Southeastern Campuses,Sandhills,NotMet,-4.16,100.0,48.4,70.0,>95,81.6,84.6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240376,Tabor City Middle,Sandhills,Met,-1.86,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240380,West Columbus High,Sandhills,Met,1.31,100.0,28.1,65.9,>95,87.5,86.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus County Schools,240388,Williams Township,Sandhills,Met,0.82,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteville City Schools,241,Whiteville City Schools,Sandhills,,,100.0,52.1,70.0,>95,88.6,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteville City Schools,241304,Central Middle,Sandhills,Exceeded,2.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteville City Schools,241308,Edgewood Elementary,Sandhills,Exceeded,5.75,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteville City Schools,241312,North Whiteville Academy,Sandhills,,,,*,,*,64.3,90.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteville City Schools,241316,Whiteville High,Sandhills,NotMet,-9.74,100.0,54.1,70.0,>95,91.7,87.1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteville City Schools,241320,Whiteville Primary,Sandhills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250,Craven County Schools,Southeast,,,100.0,60.4,85.2,>95,85.1,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250304,Albert H Bangert Elementary,Southeast,Met,-0.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250306,Ben D Quinn Elementary,Southeast,Met,-0.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250308,Bridgeton Elementary,Southeast,Met,-0.01,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250312,Brinson Memorial Elementary,Southeast,NotMet,-6.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250314,Craven Early College High,Southeast,Met,-1.71,100.0,88.1,*,>95,>95,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250316,Creekside Elementary,Southeast,Met,1.53,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250320,Vanceboro-Farm Life Elementary,Southeast,Met,-0.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250321,Early College EAST High,Southeast,NotMet,-3.74,100.0,89.7,*,>95,>95,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250324,Grover C Fields Middle,Southeast,Met,-0.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250328,Graham A Barden Elementary,Southeast,NotMet,-2.41,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250332,H J MacDonald Middle,Southeast,Exceeded,2.57,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250336,Havelock Elementary,Southeast,NotMet,-2.41,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250340,Havelock High,Southeast,Met,0.35,97.0,58.6,87.3,>95,90.8,91.9,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250344,Havelock Middle,Southeast,NotMet,-5.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250348,J T Barber Elementary,Southeast,Met,-1.55,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250350,James W Smith Elementary,Southeast,Met,0.88,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250356,New Bern High,Southeast,NotMet,-8.25,100.0,61.3,87.9,>95,83.0,86.3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250360,Oaks Road Elementary,Southeast,Met,0.08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250362,Roger R Bell Elementary,Southeast,Met,-0.41,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250364,Trent Park Elementary,Southeast,Exceeded,2.34,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250368,Tucker Creek Middle,Southeast,NotMet,-3.49,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250372,West Craven High,Southeast,NotMet,-8.16,100.0,48.9,80.0,>95,79.5,79.8,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250376,West Craven Middle,Southeast,NotMet,-4.54,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250378,W Jesse Gurganus Elementary,Southeast,Exceeded,2.64,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craven County Schools,250380,Arthur W Edwards Elementary,Southeast,Exceeded,4.68,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260,Cumberland County Schools,Sandhills,,,100.0,53.0,74.5,>95,82.1,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260302,Alma O Easom Elementary,Sandhills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260306,Armstrong Elementary,Sandhills,Exceeded,2.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260308,Ashley Elementary,Sandhills,Met,-1.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260310,Loyd E Auman Elementary,Sandhills,Met,-1.82,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260312,Beaver Dam Elementary,Sandhills,Met,1.33,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260316,Lillian Black Elementary,Sandhills,Met,0.39,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260318,Jack Britt High,Sandhills,Exceeded,16.84,100.0,75.2,85.9,>95,93.5,94.1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260320,Brentwood Elementary,Sandhills,Met,-0.35,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260321,Douglas Byrd Middle,Sandhills,Met,-1.62,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260322,Douglas Byrd High,Sandhills,Met,1.78,100.0,28.0,67.3,>95,75.0,82.3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260325,Cape Fear High,Sandhills,Met,-0.19,100.0,63.4,79.3,>95,88.1,86.6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260326,Elizabeth M Cashwell Elementary,Sandhills,Exceeded,2.92,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260332,Eastover-Central Elementary,Sandhills,Met,0.53,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260336,Anne Chesnutt Middle,Sandhills,Met,-0.87,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260338,Cliffdale Elementary,Sandhills,NotMet,-4.45,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260340,College Lakes Elementary,Sandhills,Met,-1.72,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260342,C Wayne Collier Elementary,Sandhills,Met,-1.89,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260344,J W Coon Elementary,Sandhills,Met,-1.17,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260347,Cumberland International Early CollegeHS,Sandhills,Met,1.81,100.0,86.9,,>95,>95,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260348,Cumberland Mills Elementary,Sandhills,Exceeded,5.77,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260352,Cumberland Road Elementary,Sandhills,Met,0.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260354,Cross Creek Early College,Sandhills,Exceeded,2.87,100.0,94.9,,>95,>95,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260356,District No 7 Elementary,Sandhills,Exceeded,2.69,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260357,Grays Creek High,Sandhills,NotMet,-6.7,100.0,62.9,77.8,>95,88.4,88.5,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260358,Luther Nick Jeralds Middle,Sandhills,NotMet,-5.71,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260359,E E Smith High,Sandhills,Met,0.72,88.5,36.2,68.8,>95,77.6,82.1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260361,Ferguson-Easley Elementary,Sandhills,Met,-0.57,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260362,Grays Creek Middle,Sandhills,Met,0.57,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260363,Glendale Acres Elementary,Sandhills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260364,Alderman Road Elementary,Sandhills,Exceeded,2.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260365,R Max Abbott Middle,Sandhills,Met,-1.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260366,Howard L Hall Elementary,Sandhills,Exceeded,2.93,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260367,Bill Hefner Elementary,Sandhills,Met,1.73,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260368,Hope Mills Middle,Sandhills,NotMet,-3.19,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260369,John R Griffin Middle,Sandhills,Exceeded,8.19,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260370,Ed V Baldwin Elementary,Sandhills,NotMet,-3.54,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260371,Ireland Drive Middle,Sandhills,NotMet,-3.19,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260372,Lewis Chapel Middle,Sandhills,NotMet,-5.74,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260373,Gallberry Farm Elementary,Sandhills,Met,-1.38,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260374,Alger B. Wilkins High School,Sandhills,NotMet,-2.8,100.0,8.3,*,>95,71.0,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260375,Grays Creek Elementary,Sandhills,Met,1.78,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260380,Long Hill Elementary,Sandhills,Met,0.48,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260382,Lucile Souders Elementary,Sandhills,NotMet,-2.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260383,Mac Williams Middle,Sandhills,Met,0.12,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260386,Margaret Willis Elementary,Sandhills,Met,-0.41,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260388,Massey Hill Classical High,Sandhills,Met,1.9,100.0,79.7,92.3,>95,>95,>95,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260396,Mary McArthur Elementary,Sandhills,Met,1.62,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260397,E Melvin Honeycutt Elementary,Sandhills,Exceeded,2.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260398,E E Miller Elementary,Sandhills,Exceeded,3.65,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260400,Montclair Elementary,Sandhills,Met,0.82,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260401,Morganton Road Elementary,Sandhills,Met,-0.12,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260402,Manchester Elementary,Sandhills,Met,-0.32,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260403,New Century International Elementary,Sandhills,Met,-0.42,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260404,William H Owen Elementary,Sandhills,NotMet,-2.27,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260405,Walker Spivey Elementary,Sandhills,Met,0.46,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260406,Pine Forest Middle,Sandhills,Exceeded,2.15,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260407,Lake Rim Elementary,Sandhills,NotMet,-3.46,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260408,Pine Forest High,Sandhills,Met,0.2,95.3,49.7,70.1,94.6,84.6,89.3,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260410,Ponderosa Elementary,Sandhills,Met,1.98,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260411,Reid Ross Classical High,Sandhills,Exceeded,9.11,100.0,52.9,73.3,>95,>95,>95,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260412,Raleigh Road Elementary,Sandhills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260413,Howard Learning Academy,Sandhills,NotMet,-7.89,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260414,Benjamin J Martin Elementary,Sandhills,Exceeded,2.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Schools,260415,Rockfish Elementary,Sandhills,Met,0.52,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
