District Name,School Code,School Name,SBE District,EVAAS Growth Status,EVAAS Growth Index,Percent Participation Targets Met,ACT Percent,ACT WorkKeys Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont-Triad,Exceeded,5.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont-Triad,NotMet,-3.59,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont-Triad,Met,-1.83,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont-Triad,NotMet,-8.53,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont-Triad,Exceeded,17.19,96.9,26.7,79.4,91.8,70.1,74.8,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont-Triad,Exceeded,3.49,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont-Triad,Met,-0.48,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont-Triad,Met,-1.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont-Triad,Met,-1.85,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010378,Ray Street Academy,Piedmont-Triad,NotMet,-4.24,100.0,<5,,,<5,<5,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont-Triad,NotMet,-2.34,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010384,South Mebane Elementary,Piedmont-Triad,Exceeded,5.05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010388,Southern High,Piedmont-Triad,Met,1.7,94.1,52.8,69.9,91.7,84.7,83.6,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010390,Southern Middle,Piedmont-Triad,Met,-0.29,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010392,Sylvan Elementary,Piedmont-Triad,Met,-0.19,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010394,Turrentine Middle,Piedmont-Triad,NotMet,-7.54,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
