Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,2,2,0,53,68,56,8,189,17,5,17
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,5,0,50,53,65,5,180,8,11,8
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Total enrollment,M,2,47,2,212,356,449,47,1115,115,35,62
NC,Charlotte-Mecklenburg Schools,NC,Butler High,3.70297E+11,2015,Total enrollment,F,8,41,0,197,320,404,41,1011,55,29,41
NC,Charlotte-Mecklenburg Schools,NC,Vance High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,8,2,107,230,14,5,366,53,8,53
NC,Charlotte-Mecklenburg Schools,NC,Vance High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,8,2,113,197,11,5,338,26,2,29
NC,Charlotte-Mecklenburg Schools,NC,Vance High,3.70297E+11,2015,Total enrollment,M,2,23,2,245,584,32,20,908,130,11,113
NC,Charlotte-Mecklenburg Schools,NC,Vance High,3.70297E+11,2015,Total enrollment,F,5,29,2,233,494,26,14,803,55,8,77
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,5,2,0,32,71,35,11,156,26,8,14
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,2,0,23,77,35,2,141,23,5,8
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,3.70297E+11,2015,Total enrollment,M,5,17,0,119,428,260,26,855,109,26,41
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,3.70297E+11,2015,Total enrollment,F,5,14,0,110,407,260,23,819,64,14,29
NC,Charlotte-Mecklenburg Schools,NC,Phillip O Berry Academy of Technology,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,2,2,0,20,92,5,2,123,8,5,2
NC,Charlotte-Mecklenburg Schools,NC,Phillip O Berry Academy of Technology,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,2,0,26,98,2,5,133,8,2,5
NC,Charlotte-Mecklenburg Schools,NC,Phillip O Berry Academy of Technology,3.70297E+11,2015,Total enrollment,M,5,35,0,161,587,38,17,843,40,29,14
NC,Charlotte-Mecklenburg Schools,NC,Phillip O Berry Academy of Technology,3.70297E+11,2015,Total enrollment,F,2,44,0,131,605,17,14,813,31,11,11
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,2,5,0,32,131,32,8,210,32,5,5
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,2,0,26,143,32,5,210,17,8,5
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek High,3.70297E+11,2015,Total enrollment,M,5,83,0,122,842,185,50,1287,127,38,35
NC,Charlotte-Mecklenburg Schools,NC,Mallard Creek High,3.70297E+11,2015,Total enrollment,F,8,41,0,113,818,209,53,1242,61,23,29
NC,Charlotte-Mecklenburg Schools,NC,Performance Learning Center,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,2,0,2,5,5,2,16,2,2,2
NC,Charlotte-Mecklenburg Schools,NC,Performance Learning Center,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,2,0,5,23,11,0,41,5,2,0
NC,Charlotte-Mecklenburg Schools,NC,Performance Learning Center,3.70297E+11,2015,Total enrollment,M,2,2,0,14,47,29,5,99,19,8,8
NC,Charlotte-Mecklenburg Schools,NC,Performance Learning Center,3.70297E+11,2015,Total enrollment,F,0,5,0,29,83,44,2,163,13,2,8
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,0,0,14,14,17,2,47,11,2,5
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,2,0,14,20,14,2,52,5,2,2
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2015,Total enrollment,M,0,17,2,68,95,59,8,249,49,11,20
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2015,Total enrollment,F,2,23,0,89,161,89,14,378,34,8,17
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Math Eng Tech Science,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,0,0,8,11,14,2,35,5,2,2
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Math Eng Tech Science,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,0,0,0,5,8,2,15,2,2,0
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Math Eng Tech Science,3.70297E+11,2015,Total enrollment,M,2,44,0,83,137,134,14,414,28,8,11
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Math Eng Tech Science,3.70297E+11,2015,Total enrollment,F,0,11,0,35,74,80,11,211,4,5,8
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Leadership and Development,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,2,0,20,20,11,2,55,8,2,5
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Leadership and Development,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,5,0,29,23,2,5,64,5,2,5
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Leadership and Development,3.70297E+11,2015,Total enrollment,M,2,11,0,68,125,29,8,243,37,2,23
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Leadership and Development,3.70297E+11,2015,Total enrollment,F,0,11,2,65,104,11,8,201,19,5,23
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Biotech Health Pub Admin,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,2,0,11,14,8,0,35,5,0,0
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Biotech Health Pub Admin,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,2,0,17,23,8,2,52,2,2,2
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Biotech Health Pub Admin,3.70297E+11,2015,Total enrollment,M,2,20,0,62,98,41,5,228,28,2,14
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Biotech Health Pub Admin,3.70297E+11,2015,Total enrollment,F,2,26,0,92,176,41,11,348,16,5,17
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,5,0,17,17,80,5,124,20,2,5
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,8,0,20,8,74,5,117,14,2,2
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,3.70297E+11,2015,Total enrollment,M,2,224,2,125,191,890,38,1472,112,38,44
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,3.70297E+11,2015,Total enrollment,F,2,230,2,110,164,869,32,1409,55,26,29
NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,2,0,0,17,20,8,0,47,2,5,2
NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,0,0,17,14,2,2,37,2,0,2
NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,3.70297E+11,2015,Total enrollment,M,2,2,0,173,182,29,5,393,40,17,44
NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,3.70297E+11,2015,Total enrollment,F,5,2,0,149,134,17,11,318,19,2,29
NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,8,0,89,155,32,11,295,41,8,26
NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,2,0,98,137,20,8,267,17,2,23
NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,3.70297E+11,2015,Total enrollment,M,8,26,2,242,527,74,32,911,124,17,83
