District Name,School Code,School Name,Year,State Board Region,Grade Span,Subgroup,ACT/ACT WorkKeys Assessments Indicator Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,American Indian,48.1,95,81.1,92.6
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Asian,74.7,94.8,90.4,94.1
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Black,43.6,90.9,84.9,90.8
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Hispanic,48.7,93,74,80.4
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Two or More Races,62.5,92.5,87.7,90.4
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,White,87.8,94.3,93.1,95
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Economically Disadvantaged,44.8,90.5,80.3,86.5
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,English Learner,22.6,87.3,62.8,63.9
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Students With Disabilities,19.4,46.4,63.1,70.8
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Homeless,30,93.6,71.7,*
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Foster Care,43.8,60.9,56.5,*
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,All Students,90.3,94.4,95,95
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Female,92.9,95,95,95
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Male,87.3,92.8,93.4,95
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Asian,95,95,93.7,95
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Black,70.7,90.5,95,95
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Hispanic,75.5,90.5,88.1,93.9
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Two or More Races,92.9,95,88.2,95
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,White,93.8,94.3,95,95
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,67.4,81.4,82.8,91.9
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,English Learner,81.8,87.5,73.5,*
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Students With Disabilities,23.8,39.6,71.1,76.2
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,All Students,83.1,91.3,93.5,93.4
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Female,83.2,93.2,95,93.4
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Male,83,89.1,91.7,93.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Asian,88.9,95,86.4,95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Black,64.2,79.4,79.7,87.7
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Hispanic,57.1,87.5,90.4,87.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Two or More Races,76.9,93.3,95,95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,White,87.7,93,95,94.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,59.3,83.8,79,86.7
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,English Learner,50,73.3,75,75
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Students With Disabilities,77.3,37.3,64.7,75.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,'17-'18,Southwest,12-Sep,Homeless,*,*,72.7,*
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,All Students,95,95,95,95
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,Female,95,95,95,95
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,Male,95,95,95,95
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,Asian,*,*,95,*
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,Black,94.1,95,95,95
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,Hispanic,95,95,93.3,95
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,White,95,95,95,95
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,Economically Disadvantaged,93.8,95,95,95
Charlotte-Mecklenburg Schools,600334,Cato Middle College High,'17-'18,Southwest,13-Nov,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'17-'18,Southwest,12-Jun,All Students,61.3,95,81.1,77.8
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'17-'18,Southwest,12-Jun,Female,62.5,95,83.3,75
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'17-'18,Southwest,12-Jun,Male,60,95,78.9,80
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'17-'18,Southwest,12-Jun,Black,69.2,95,86.7,*
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'17-'18,Southwest,12-Jun,Hispanic,53.3,95,73.7,75
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'17-'18,Southwest,12-Jun,Economically Disadvantaged,*,*,72.7,69.2
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,'17-'18,Southwest,12-Jun,English Learner,*,*,70,*
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,All Students,62.9,92.4,91.6,94.1
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Female,64.7,93.8,94.9,95
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Male,60.9,90.9,88.3,91.6
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Asian,65.4,95,95,92.3
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Black,42,88.1,87.6,94.9
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Hispanic,55.4,91.8,85.3,90.5
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Two or More Races,47.6,95,95,95
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,White,83.1,95,95,94.7
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,48.4,89.9,86.5,92
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,English Learner,31.6,83.3,64.9,81.8
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Students With Disabilities,25,58.5,72.7,77.8
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600361,Butler High,'17-'18,Southwest,12-Sep,Homeless,*,*,95,*
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'17-'18,Southwest,12-Sep,All Students,*,*,81.8,90.3
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'17-'18,Southwest,12-Sep,Female,*,*,*,85.7
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'17-'18,Southwest,12-Sep,Male,*,*,*,94.1
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'17-'18,Southwest,12-Sep,Black,*,*,*,90.9
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,'17-'18,Southwest,12-Sep,Hispanic,*,*,*,92.3
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,All Students,58.7,88.4,82.7,91.5
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Female,60,92,87.6,92.6
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Male,57.3,84.8,77.9,90.4
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Asian,61.1,92.5,90,89.5
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Black,46.2,86.8,81.9,92
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Hispanic,53.2,91.5,75.5,81.7
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Two or More Races,73.3,87.5,95,95
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,White,84.3,86.3,87.7,95
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,46.7,87.2,81.2,87.2
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,English Learner,21.1,84.9,69.6,71.9
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Students With Disabilities,13.6,27.7,57.8,55.9
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Academically or Intellectually Gifted,95,95,93.9,95
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,'17-'18,Southwest,12-Sep,Homeless,*,*,74.1,*
Charlotte-Mecklenburg Schools,600386,Hawthorne High,'17-'18,Southwest,12-Sep,All Students,88.5,95,95,95
Charlotte-Mecklenburg Schools,600386,Hawthorne High,'17-'18,Southwest,12-Sep,Female,84.2,95,95,*
Charlotte-Mecklenburg Schools,600386,Hawthorne High,'17-'18,Southwest,12-Sep,Black,83.3,95,95,*
Charlotte-Mecklenburg Schools,600386,Hawthorne High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,*,*,*,95
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,All Students,25.6,92.3,64.6,76.7
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,Female,24,92.6,73.6,80.8
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,Male,27.1,92,56.9,72.2
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,Asian,26.7,95,73,65.5
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,Black,20.7,87.4,73.9,87.3
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,Hispanic,29.1,95,56.3,67.4
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,White,*,95,46.7,72.7
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,22.6,91,64.5,76.7
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,English Learner,17.1,95,49.5,54.4
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,Students With Disabilities,5,38.9,50.8,60.5
Charlotte-Mecklenburg Schools,600397,Garinger High,'17-'18,Southwest,12-Sep,Homeless,38.5,84.2,68.5,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'17-'18,Southwest,13-Nov,All Students,95,95,95,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'17-'18,Southwest,13-Nov,Female,93.9,95,95,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'17-'18,Southwest,13-Nov,Male,95,95,94.1,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'17-'18,Southwest,13-Nov,Black,95,95,*,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'17-'18,Southwest,13-Nov,Hispanic,89.5,95,*,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'17-'18,Southwest,13-Nov,White,95,95,93.8,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'17-'18,Southwest,13-Nov,Economically Disadvantaged,95,95,*,*
Charlotte-Mecklenburg Schools,600404,Harper Middle College High,'17-'18,Southwest,13-Nov,Academically or Intellectually Gifted,95,95,*,*
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,All Students,23.2,90.9,57.6,78.8
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Female,24.4,92.3,68.8,85.5
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Male,21.8,89.5,47.6,70.5
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Asian,*,80,72.7,91.7
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Black,22.2,90.9,70.8,90.4
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Hispanic,21.3,91.9,41.8,60.6
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Two or More Races,*,*,36.4,*
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,White,*,*,*,57.1
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,24.2,94,59.3,85.4
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,English Learner,5,87.1,28.4,47.6
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Students With Disabilities,5,52.6,52.9,73.3
Charlotte-Mecklenburg Schools,600405,Harding University High,'17-'18,Southwest,12-Sep,Homeless,15,95,67.2,*
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,All Students,51.3,88.5,86.4,91.7
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Female,51.1,90.3,88.8,94.8
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Male,51.6,87,84.5,88.8
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Black,37.4,85.5,85.9,93.1
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Hispanic,36.8,88,79.7,85.7
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Two or More Races,45.5,83.3,95,90
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,White,78.9,94.4,89.1,91.1
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,40.2,82.7,82.9,88.3
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,English Learner,18.2,66.7,72.7,*
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Students With Disabilities,18.8,35.6,80.5,69
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600415,Hopewell High,'17-'18,Southwest,12-Sep,Homeless,*,*,68.8,*
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,All Students,56.6,93.9,89.8,89.3
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Female,56.6,94.8,92.4,92.4
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Male,56.6,92.9,86.9,86.6
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Asian,41.9,90,85.7,86.7
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Black,43.3,90.1,92.2,94.4
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Hispanic,48.7,94.8,85.7,80.7
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Two or More Races,52.9,95,94.7,86.4
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,White,77.8,95,91.2,91.9
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,47.5,91.7,87.8,84.5
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,English Learner,15.1,88.9,79.8,69.6
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Students With Disabilities,23.3,62,71.2,73.2
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600426,Independence High,'17-'18,Southwest,12-Sep,Homeless,27.3,95,84,*
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'17-'18,Southwest,12-Jun,All Students,14.3,84,*,5
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'17-'18,Southwest,12-Jun,Male,15.4,81.8,*,5
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'17-'18,Southwest,12-Jun,Black,8.3,82.6,*,5
Charlotte-Mecklenburg Schools,600439,Turning Point Academy,'17-'18,Southwest,12-Jun,Economically Disadvantaged,*,85.7,*,5
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'17-'18,Southwest,13-Nov,All Students,95,95,95,95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'17-'18,Southwest,13-Nov,Female,95,95,95,95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'17-'18,Southwest,13-Nov,Male,95,95,95,95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'17-'18,Southwest,13-Nov,Black,95,95,95,95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'17-'18,Southwest,13-Nov,Hispanic,90.9,95,92.9,90.9
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'17-'18,Southwest,13-Nov,White,95,95,95,95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'17-'18,Southwest,13-Nov,Economically Disadvantaged,95,95,95,95
Charlotte-Mecklenburg Schools,600443,Levine Middle College High,'17-'18,Southwest,13-Nov,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,All Students,53.8,94.5,93.9,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Female,55.1,95,95,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Male,52.3,92.7,90.8,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Asian,82.4,90,94.6,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Black,47.8,95,93.3,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Hispanic,40.9,95,95,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Two or More Races,38.5,95,92.6,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,White,83.1,91.7,95,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,43.5,94.6,92.7,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,English Learner,31.8,82.4,84.4,*
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Students With Disabilities,20,55.6,71.2,81.8
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Academically or Intellectually Gifted,95,95,95,95
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,'17-'18,Southwest,12-Sep,Homeless,*,*,77.3,*
Charlotte-Mecklenburg Schools,600454,Metro School,'17-'18,Southwest,PK-13,All Students,*,5,5,5
Charlotte-Mecklenburg Schools,600454,Metro School,'17-'18,Southwest,PK-13,Female,*,5,*,*
Charlotte-Mecklenburg Schools,600454,Metro School,'17-'18,Southwest,PK-13,Male,*,5,*,5
Charlotte-Mecklenburg Schools,600454,Metro School,'17-'18,Southwest,PK-13,Black,*,5,*,5
Charlotte-Mecklenburg Schools,600454,Metro School,'17-'18,Southwest,PK-13,Hispanic,*,5,*,*
Charlotte-Mecklenburg Schools,600454,Metro School,'17-'18,Southwest,PK-13,White,*,5,*,*
Charlotte-Mecklenburg Schools,600454,Metro School,'17-'18,Southwest,PK-13,Economically Disadvantaged,*,5,*,*
Charlotte-Mecklenburg Schools,600454,Metro School,'17-'18,Southwest,PK-13,Students With Disabilities,*,5,5,5
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,All Students,32.6,91,85,94.9
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Female,40,93.1,89.6,95
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Male,24.6,88.8,80.5,93.3
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Asian,41.7,87.5,95,95
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Black,28.9,91.3,84.3,95
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Hispanic,30.8,94.6,86.7,90.2
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Two or More Races,50,82.4,80,93.3
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,White,57.1,77.3,75,89.7
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,34.7,91.8,86,95
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,English Learner,17.1,87.1,83.9,87
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Students With Disabilities,20,45.1,57.4,78.6
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Academically or Intellectually Gifted,*,95,95,95
Charlotte-Mecklenburg Schools,600457,Rocky River High,'17-'18,Southwest,12-Sep,Homeless,*,*,72.2,*
Charlotte-Mecklenburg Schools,600461,Lincoln Heights Academy,'17-'18,Southwest,0K-13,All Students,*,30,*,*
Charlotte-Mecklenburg Schools,600461,Lincoln Heights Academy,'17-'18,Southwest,0K-13,Students With Disabilities,*,30,*,*
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,All Students,77.5,90.3,87.6,94.8
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,Female,77.4,92.1,89.1,95
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,Male,77.7,88.3,86,94.3
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,Asian,77.8,91.3,83.3,93.3
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,Black,37.4,82,82,88.4
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,Hispanic,56.9,74.3,66.7,82
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,Two or More Races,58.3,78.6,92.3,95
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,White,93.1,95,94.3,95
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,Economically Disadvantaged,35.8,78.8,73.7,85
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,English Learner,27.8,67.8,66.1,66.7
Charlotte-Mecklenburg Schools,600466,Myers Park High,'17-'18,Southwest,12-Sep,Students With Disabilities,15.2,37.7,64.3,84.1
